0.039,0.0695
0.112,0.179
0.212,0.625
0.305,0.541
0.415,0.514
0.473,0.513
0.198,0.379
0.324,0.587
0.216,0.331
0.235,0.487
0.109,0.328
0.341,0.209
0.759,0.665
0.267,0.473
0.203,0.111
0.281,0.476
0.496,0.491
0.352,0.0565
0.057,0.207
0.203,0.446
0.0854,0.434
0.325,0.324
0.277,0.299
0.531,0.341
0.184,0.234
0.0687,0.606
0.418,0.182
0.0928,0.18
0.373,0.646
0.268,0.0307
0.481,0.76
0.452,0.529
0.211,0.263
0.203,0.415
0.217,0.656
0.307,0.176
0.659,0.732
0.596,0.729
0.293,0.431
0.366,0.729
0.213,0.545
0.314,0.376
0.552,0.376
0.307,0.57
0.32,0.717
0.168,0.103
0.176,0.29
0.355,0.329
0.198,0.655
0.138,0.292
0.498,0.242
0.219,0.466
0.0812,0.461
0.3,0.245
0.348,0.462
0.187,0.689
0.0703,0.345
0.168,0.43
0.185,0.119
0.355,0.49
0.299,0.0581
0.343,0.473
0.122,0.418
0.269,0.444
0.264,0.595
0.202,0.34
0.458,0.479
0.158,0.271
0.369,0.35
0.225,0.257
0.228,0.243
0.267,0.592
0.167,0.659
0.0857,0.176
0.564,0.393
0.223,0.343
0.114,0.556
0.194,0.346
0.137,0.316
0.296,0.206
0.418,0.499
0.136,0.138
0.0899,0.13
0.306,0.419
0.196,0.379
0.182,0.42
0.161,0.351
0.0841,0.173
0.0997,0.285
0.176,0.291
0.123,0.115
0.0988,0.184
0.277,0.181
0.124,0.284
0.219,0.175
0.291,0.347
0.286,0.385
0.0653,0.242
0.642,0.224
0.113,0.0538
0.249,0.0747
0.131,0.0746
0.351,0.434
0.0758,0.151
0.386,0.66
0.344,0.157
0.597,0.217
0.112,0.214
0.548,0.156
0.0669,0.573
0.155,0.335
0.378,0.237
0.199,0.292
0.401,0.429
0.183,0.439
0.222,0.159
0.231,0.186
0.424,0.754
0.128,0.269
0.289,0.321
0.338,0.44
0.0775,0.244
0.177,0.295
0.183,0.365
0.238,0.127
0.21,0.442
0.158,0.17
0.23,0.385
0.411,0.257
0.308,0.128
0.189,0.559
0.367,0.686
0.317,0.614
0.318,0.392
0.14,0.424
0.444,0.73
0.26,0.333
0.165,0.624
0.304,0.312
0.343,0.552
0.262,0.356
0.576,0.654
0.708,0.461
0.335,0.314
0.346,0.41
0.485,0.664
0.242,0.673
0.173,0.43
0.225,0.141
0.37,0.796
0.151,0.0709
0.257,0.732
0.179,0.298
0.465,0.475
0.305,0.623
0.196,0.683
0.234,0.676
0.169,0.65
0.323,0.952
0.09,0.348
0.401,0.601
0.247,0.489
0.331,0.264
0.443,0.184
0.0776,0.146
0.189,0.287
0.237,0.672
0.111,0.45
0.168,0.407
0.117,0.491
0.298,0.392
0.0872,0.609
0.761,0.74
0.264,0.598
0.642,0.886
0.356,0.743
0.175,0.24
0.388,0.297
0.276,0.715
0.354,0.663
0.324,0.184
0.223,0.33
0.366,0.382
0.351,0.678
0.193,0.226
0.184,0.446
0.192,0.355
0.454,0.821
0.458,0.479
0.274,0.261
0.383,0.633
0.543,0.815
0.432,0.415
0.612,0.912
0.544,0.369
0.291,0.319
0.624,0.309
0.384,0.201
0.112,0.769
0.173,0.273
0.375,0.781
0.14,0.662
0.155,0.532
0.288,0.691
0.336,0.502
0.16,0.427
0.124,0.506
0.249,0.978
0.342,0.148
0.115,0.26
0.306,0.797
0.454,0.908
0.394,0.832
0.332,0.683
0.317,0.636
0.235,0.714
0.328,0.579
0.359,0.428
